id,project_code,price_quot_number,po_so_number,asn_dn,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,late_deliveries,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_in_kgs,freight_cost_in_usd,line_item_insurance_in_usd
62116,110-ZM-T30,FPQ-14151,SCMS-240080,ASN-26466,Zambia,"PMO - US","Direct Drop",EXW,Air,2014-04-30,2014-05-21,2014-07-20,2014-07-21,2014-08-06,1,ARV,Adult,"Aurobindo Pharma Limited","Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,39201,88202.25,2.25,0.04,"Aurobindo Unit III, India",Yes,3986.000,20555.45,90.67
62152,104-CI-T30,FPQ-4509,SCMS-56641,ASN-7108,"Côte d'Ivoire","PMO - US","Direct Drop",CIP,Air,2009-10-29,2009-11-09,2010-06-11,2010-06-11,2010-06-11,0,ARV,Pediatric,"BRISTOL-MYERS SQUIBB","Didanosine 50mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,50mg,"Chewable/dispersible tablet",60,1887,17926.50,9.50,0.16,"BMS Meymac, France",Yes,312.000,781.50,38.65
62158,116-ZA-T30,FPQ-14942,SCMS-259075,ASN-32122,"South Africa","PMO - US","Direct Drop",DDP,Truck,2014-09-11,2015-05-11,2015-05-12,2015-05-12,2015-05-12,0,ARV,Adult,"PHARMACY DIRECT","Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,34,383.14,11.27,0.38,"Aurobindo Unit III, India",No,NULL,NULL,0.39
62159,106-HT-T30,FPQ-11443,SCMS-180940,ASN-19819,Haiti,"PMO - US","Direct Drop",EXW,Ocean,2013-02-07,2013-03-22,2013-09-02,2013-09-02,2013-09-02,0,ARV,Pediatric,"Aurobindo Pharma Limited","Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,"Oral suspension",240,2040,3080.40,1.51,0.01,"Aurobindo Unit III, India",No,NULL,NULL,3.81
62164,116-ZA-T30,FPQ-4359,SCMS-54980,ASN-5372,"South Africa","PMO - US","Direct Drop",DDP,Truck,2009-10-08,2009-10-15,2009-10-21,2009-10-21,2009-10-21,0,ARV,Adult,"S. BUYS WHOLESALER","Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,Retrovir,300mg,Tablet,60,300,4826.37,16.09,0.27,"GSK Ware (UK)",No,NULL,NULL,9.46
62168,116-ZA-T30,FPQ-14942,SCMS-259075,ASN-32138,"South Africa","PMO - US","Direct Drop",DDP,Truck,2014-09-11,2015-05-11,2015-05-12,2015-05-12,2015-05-12,0,ARV,Adult,"PHARMACY DIRECT","Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs","Tenofovir Disoproxil Fumarate",Generic,300mg,Tablet,30,3,41.45,13.82,0.46,"Mylan (formerly Matrix) Nashik",No,NULL,NULL,0.04
62169,A01-ZM-T50,FPQ-16227,SCMS-291880,ASN-33317,Zambia,"PMO - US","Direct Drop",EXW,Air,2015-04-23,2015-06-16,2015-07-31,2015-07-31,2015-08-02,0,HRDT,"HIV test","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,NULL,"Test kit",20,585,18720.00,32.00,1.60,"Trinity Biotech, Plc",Yes,NULL,NULL,22.03
62173,109-TZ-T30,FPQ-7909,SCMS-115010,ASN-12096,Tanzania,"PMO - US","Direct Drop",EXW,Air,2011-06-24,2011-07-14,2011-10-05,2011-10-05,2011-10-05,0,HRDT,"HIV test","Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,NULL,"Test kit",100,1500,120000.00,80.00,0.80,"Alere Medical Co., Ltd.",Yes,7500.000,19196.73,198.00
62194,108-VN-T30,FPQ-15040,SCMS-263670,ASN-30942,Vietnam,"PMO - US","Direct Drop",EXW,Air,2014-10-30,2014-12-08,2015-04-14,2015-04-14,2015-04-14,0,ARV,Adult,"HETERO LABS LIMITED","Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,12200,42700.00,3.50,0.12,"Hetero Unit III Hyderabad IN",No,NULL,NULL,43.90
62227,116-ZA-T30,FPQ-11828,SCMS-183950,ASN-19166,"South Africa","South Africa Field Office","Direct Drop",DDP,Truck,2013-03-18,NULL,2013-04-16,2013-04-16,2013-04-16,0,ARV,Pediatric,"S. BUYS WHOLESALER","Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,51,1217.19,23.87,0.27,"Aurobindo Unit III, India",No,NULL,NULL,1.51
